MMS ID - 001,034$d,034$e,034$f,034$g,Cartographer - 110,Title - 245$a,Coordinates - 255$c,Publisher details - 260,Description - 300 ,Aperture card reproduction note - 533,Photocopy or reprint note - 534
9921191153607636,,,,,Victoria.Department of Crown Lands and Survey.,"Tyntynder, County of Tatchera",(E 143°31'/S 35°15').,"Melbourne :A. C. Brooks, Govt. Printer,1961.",1 map ;on sheet 102 x 77 cm.,,
9921191233607636,E1472000,E1472000,S0373200,S0373200,Victoria.Department of Crown Lands and Survey.,"Tyirra, County of Dargo",(E 147°20'/S 37°32').,"Melbourne :Dept. of Lands and Survey,1906.",1 map ;on sheet 36 x 50 cm.,,
9921191323607636,E1433100,E1433100,S0351500,S0351500,Victoria.Department of Crown Lands and Survey.,"Tyntynder, County of Tatchera",(E 143°31'/S 35°15').,"Melbourne :A. J. Mullett, Govt. Printer,1922.",1 map ;on sheet 46 x 61cm.,,
9921191683607636,E1440100,E1440100,S0381700,S0381700,Victoria.Department of Crown Lands and Survey.,"Tutegong, Counties of Grant and Polwarth",(E 144°01'/S 38°17').,"Melbourne :W. M Houston, Govt. Printer,1954.",1 map ;on sheet 69 x 97 cm.,,
9921222903607636,E1415200,E1415200,S0381400,S0381400,Victoria.Department of Crown Lands and Survey.,"Tyrendarra, County of Normanby",(E 141°52'/S 38°14').,"Melbourne :Dept. of Lands and Survey,1940.",1 map on 2 sheets ;sheets 72 x 84 and 63 x 59 cm.,,
9921223233607636,E1431900,E1431900,S0350900,S0350900,Victoria.Department of Crown Lands and Survey.,"Tyntynder North, County of Tatchera",(E 143°19'/S 35°09').,"Melbourne :A. C. Brooks, Govt. Printer,1959.",1 map on 2 sheets ;sheets 69 x 99 and 48 x 69 cm.,,
9921223253607636,E1412500,E1412500,S0351400,S0351400,Victoria.Department of Crown Lands and Survey.,"Tutye, County of Weeah",(E 141°25ʹ/S 35°14ʹ).,"Melbourne :H. J. Green, Govt. Printer,1929.",1 map ;30 x 55 cm.,,
9921223373607636,E1420300,E1420300,S0371300,S0371300,Victoria.Department of Crown Lands and Survey.,"Tyar, County of Lowan",(E 142°03'/S 37°13').,"Melbourne :A. J. Mullett, Govt. Printer,1919.",1 map ;on sheet 69 x 98 cm.,,
9921223393607636,E1420300,E1420300,S0371300,S0371300,Victoria.Department of Crown Lands and Survey.,"Tyar, County of Lowan",(E 142°03'/S 37°13').,"Melbourne :A. J. Mullett, Govt. Printer,1919.",1 map on 2 sheets ;sheets 69 x 103 cm.,,
9921223443607636,E1420300,E1420300,S0371300,S0371300,Victoria.Department of Crown Lands and Survey.,"Tyar, County of Lowan",(E 142°03'/S 37°13').,"Melbourne :Dept. of Lands and Survey,1966.",1 map ;on sheet 100 x 76 cm.,,
9921223673607636,,,,,Victoria.Division of Survey and Mapping.,"Tyrendarra, County of Normanby",(E 141°52'/S 38°14').,"[Melbourne] :Division of Survey and Mapping,c1982.",1 map on 2 sheets ;sheets 51 x 71 cm.,,
9921225223607636,,,,,Victoria.Department of Crown Lands and Survey.,"Taparoo, County of Millewa",(E 141°02'/S 34°19').,"Melbourne :Dept. of Lands and Survey,1931.",1 map ;36 x 41 cm.,,
9921225293607636,E1474800,E1474800,S0374300,S0374300,Victoria.Department of Crown Lands and Survey.,"Tambo, counties of Dargo and Tambo",(E 147°48'/S 37°43').,"Melbourne :A. C. Brooks, Govt. Printer,1966.",1 map ;on sheet 64 x 70 cm.,,
9921225453607636,E1450600,E1450600,S0372900,S0372900,Victoria.Department of Crown Lands and Survey.,"Toorourrong, Counties of Bourke and Evelyn",(E 145°06'/S 37°29').,"Melbourne :H. J. Green, Govt. Printer,1930.","1 map :col.,37 x 31 cm.",,
9921233103607636,E1444500,E1444500,S0374000,S0374000,Victoria.Department of Crown Lands and Survey.,"Parish of Tullamarine, County of Bourke",(E 144°45'/S 37°40').,"Melbourne :Dept. of Lands and Survey,1958.",1 map ;70 x 96 cm.,,
9921233143607636,E1444700,E1444700,S0375100,S0375100,Victoria.Division of Survey and Mapping.,"Parish of Truganina, County of Bourke",,"[Melbourne] :Division of Survey and Mapping,c.1982.",1 map ;on sheet 51 x 71 cm.,,
9921233263607636,E1444700,E1444700,S0375100,S0375100,Victoria.Public Lands Office,"Plan of the Parish of Truganina, County of Bourke",(E 144°47'/S 37°51' ).,"Melbourne:Public Lands Office,1858.",1 map ;on sheet 51 x 66 cm,,
9921233333607636,,,,,Victoria.Department of Crown Lands and Survey,"Tyrendarra, County of Normanby",,1986,1 map :photocopy ;on sheet 31 x 43 cm.,,"Photocopy. Originally published:[Melbourne? : Dept. of Lands and Survey?, 1878?]."
9921233723607636,E1463800,E1463800,S0380200,S0380200,Victoria.Department of Crown Lands and Survey.,"Toongabbie North, County of Tanjil",(E 146°38'/S 38°02').,"Melbourne :A. J. Mullett, Govt. Printer,1917.",1 map :mounted on linen ;33 x 41 cm.,,
9921235173607636,E1440400,E1440400,S0365000,S0365000,Victoria.Department of Crown Lands and Survey,"Parish of Shelbourne, County of Bendigo",(E 144°04'/S 36°50' ).,"Melbourne :Dept. of Lands and Survey,1903.",1 map ;on sheet 106 x 77 cm.,,
9921235443607636,,,,,Victoria.Public Lands Office,"Building lots, Parish of Sandhurst",,"Melbourne :Public Lands Office,1859.",1 map ;on sheet 77 x 58 cm.,,
9921235673607636,E1463700,E1463700,S0380600,S0380600,Victoria.Department of Crown Lands and Survey.,"Toongabbie South, County of Tanjil",(E 146°37'/S 38°06').,"Melbourne :A. C. Brooks, Govt. Printer,1967.",1 map on 2 sheets ;sheets  88 x 77 and 59 x 82 cm.,,
9921235763607636,E1463800,E1463800,S0380200,S0380200,Victoria.Department of Crown Lands and Survey.,"Toongabbie North, County of Tanjil",(E 146°38'/S 38°02').,"Melbourne :A. C. Brooks, Govt. Printer,1961.",1 map ;on sheet 71 x 102 cm.,,
9921236203607636,E1444600,E 1444600,S0370200,S0370200,Victoria.Department of Crown Lands and Survey.,"Tooborac, County of Dalhousie",(E 144°46'/S 37°02').,"Melbourne :Dept. of Lands and Survey,1965.",1 map on 2 sheets ;sheets 69 x 102 cm.,,
9921236583607636,E1430600,E1430600,S0364200,S0364200,Victoria.Department of Crown Lands and Survey.,"Tottington, County of Kara Kara",(E 143°06'/S 36°42').,"Melbourne :Dept. of Lands and Survey,1899.",1 map on 2 sheets ;38 x 62 cm. and 49 x 73 cm.,,
9921236623607636,E1424300,E1424300,S0374800,S0374800,Victoria.Department of Crown Lands and Survey.,"Towanway, County of Hampden",(E 142°43'/S 37°48').,"Melbourne :Dept. of Lands and Survey,1884.",1 map on 2 sheets ;sheets 55 x 84 and 60 x 91 cm.,,
9921236823607636,E1454800,E1454800,S0365000,S0365000,Victoria.Department of Crown Lands and Survey.,"Strathbogie, County of Delatite",(E 145°48'/S 36°50').,"Melbourne :Dept. of Lands and Survey,1902.",1 map ;on sheet 76 x 101 cm.,,
9921237433607636,E1455600,E1455600,S 0365000,S0365000,Victoria.Department of Crown Lands and Survey.,"Too-Rour, County of Delatite",(E 145°56'/S 36°50').,"Melbourne :Dept. of Lands and Survey,1908.",1 map on 2 sheets ;sheets 104 x 72 and 102 x 47 cm.,,
9921237463607636,E1425000,E1425000,S0380000,S0380000,Victoria.Department of Crown Lands and Survey,"Toorak, County of Hampden",(E 142°50'/S 38°00').,"Melbourne :Dept. of Lands and Survey,1879.",1 map ;on sheet 70 x 103 cm.,,
9921237533607636,E1425000,E1425000,S0380000,S0380000,Victoria.Division of Survey and Mapping.,"Parish of Toorak, County of Hampden",(E 142°50'/S 38°00').,"[Melbourne] :Division of Survey and Mapping,c.1983.",1 map ;on sheet 50 x 71 cm.,,
9921239783607636,E1444600,E1444600,S0382100,S0382100,Victoria.Department of Crown Lands and Survey,Parish of Nepean,(E 144°46'/S 38°21' ).,"[Melbourne :Dept. of Lands and Survey?,187-?].","2 maps on 1 sheet :col., mounted on linen ;on sheet 43 x 32 cm.",,
9921239843607636,E1444600,E1444600,S0382100,S0382100,Victoria.Department of Crown Lands and Survey,[Map of Parish of Nepean],(E 144°46'/S 38°21').,"[Melbourne :Dept. of Lands and Survey?],1875?.","1 map :col., mounted on linen ;on sheet 34 x 54 cm.",,
9921239933607636,E1444600,E1444600,S0382100,S0382100,Victoria.Department of Crown Lands and Survey.,"Plan of the Parish of Nepean, County of Mornington",(E 144°46'/S 38°21').,"[Melbourne :Dept. of Lands and Survey,195-?].",1 map :mounted on linen ;on sheet 32 x 64 cm.,,
9921240313607636,,,,,Victoria.Department of Crown Lands and Survey,"[Map of Parish of Nepean, County of Nepean]",,[1979?],1 map :photocopy ;on sheet 61 x 48 cm.,,"Photocopy. Originally published :[Melbourne? : Dept. of Lands and Survey?], 1854,Scale [1: 15 840]. 4 inches to 1 mile."
9921240713607636,E1444600,E1444600,S0382100,S0382100,Victoria.Department of Crown Lands and Survey,[Part of map of Parish of Nepean],,"[Melbourne :Dept. of Lands and Survey,187-?].",1 map ;on sheet 68 x 36 cm.,,
9921251053607636,,,,,Victoria.Division of Survey and Mapping.,"Lake Lake Wollard, County of Grant",,"[Melbourne]:Division of Surey and Mapping,c.1981.",1 map ;on sheet 50 x 71 cm.,,
9921251603607636,E1423600,E1423600,S0372600,S0372600,Victoria.Department of Crown Lands and Survey,"Watgania, County of Ripon",(E 142°36'/S 37°26').,"Melbourne :Dept. of Lands and Survey,1880.",1 map ;on sheet 80 x 132 cm.,,
9921251703607636,E1423600,E1423600,S0372600,S0372600,Victoria.Department of Crown Lands and Survey,"Watgania, County of Ripon",(E 142°36'/S 37°26').,"Melbourne :Dept. of Lands and Survey,1880.",1 map ;on sheet 77 x 63 cm.,,
9921251733607636,E1422900,E1422900,S0372500,S0372500,Victoria.Department of Crown Lands and Survey.,"Watgania West, County of Ripon",(E 142°29'/S 37°25').,"Melbourne :Dept. of Lands and Survey,1880.",1 map ;on sheet 80 x 59 cm.,,
9921251913607636,,,,,Victoria.Department of Crown Lands and Survey,"Special lands, Parish of Warrenmang",,"Melbourne :Dept. of Lands and Survey,1861.",1 map ;on sheet 31 x 23 cm.,,
9921252243607636,E1454100,E1454100,S0381300,S0381300,Victoria.Division of Survey and Mapping.,"Parish of Yannathan, Counties of Buln Buln and Mornington",(E 145°41'/S 38°13').,"[Melbourne] :Division of Survey and Mapping,c. 1982.",1 map ;on sheet 51 x 70 cm.,,
9921252543607636,E1455800,E1455800,S0360300,S0360300,Victoria.Department of Crown Lands and Survey.,"Yarrawonga, County of Moira",(E 145°58'/S 36°03').,"Melbourne :W. M. Houston, Govt. Printer,1958.",1 map ;on sheet 96 x 69 cm.,,
9921254073607636,E1445500,E1445500,S0382300,S0382300,Victoria.Department of Crown Lands and Survey.,"Wannaeue, County of Mornington",(E 144°55'/S 38°23').,"[Melbourne :Dept. of Lands and Survey,188-?].",1 map :mounted on linen ;32 x 51 cm.,,
9921254123607636,,,,,Victoria.Department of Crown Lands and Survey.,Parish of Wannaeue,,"[Melbourne :Dept. of Lands and Survey],1875","2 maps on 1 sheet :col., mounted on linen ;32 x 47 cm.",,
9921270923607636,E1444700,E1444700,S0375100,S0375100,Victoria.Department of Crown Lands and Survey,"Truganina, County of Bourke",(E 144°47'/S 37°51').,"Melbourne :T. Rider, Govt. Printer,1940.","1 map :col.,on sheet 37 x 59 cm.",,
9921270943607636,E1463000,E1463000,S0381400,S0381400,Victoria.Department of Crown Lands and Survey.,"Traralgon, County of Buln Buln",(E 146°30'/S 38°14').,"Melbourne :Dept. of Lands and Survey,1887.",1 map ;on sheet 75 x 39 cm.,,
9921271003607636,E1451200,E1451200,S0381500,S0381500,Victoria.Department of Crown Lands and Survey,"Tyabb, County of Mornington",(E 145°12'/S 38°15' ).,"Melbourne :Dept. of Lands and Survey,1928.",1 map ;on sheet 50 x 35 cm.,,
9921271073607636,E1410200,E1410200,S0364800,S0364800,Victoria.Department of Crown Lands and Survey.,"Tallageira, County of Lowan",(E 141°02'/S 36°48').,"Melbourne :Dept. of Lands and Survey,1910.",1 map ;on sheet 72 x 102 cm.,,
9921271103607636,E1433400,E1433400,S0360900,S0360900,Victoria.Department of Crown Lands and Survey,"Terrapee, County of Gladstone",(E 143°34'/S 36°09' ).,"Melbourne :Dept. of Lands and Survey,1883.",1 map ;on sheet 86 x 69 cm.,,
9921271513607636,,,,,Victoria.Division of Survey and Mapping.,"Parish of Tutegong, County of Grant & Polwarth",,"Melbourne :Division of Survey and Mapping,1981.",1 map ;on sheet 50 x 70 cm.,,
9921271523607636,E1452700,E1452700,S0373800,S0373800,Victoria.Department of Crown Lands and Survey.,"Tarrawarra, County of Evelyn",(E 145°27'/S 37°38').,"Melbourne :Dept. of Lands and Survey,1946.",1 map ;32 x 46 cm.,,
9921271593607636,E1431200,E 1431200,S0354500,S0354500,Victoria.Department of Crown Lands and Survey.,"Tittybong, County of Tatchera",(E 143°21'/S 35°45').,"Melbourne :H. J. Green, Govt. Printer,1929.",1 map ;on sheet 101 x 79 cm.,,
9921271633607636,E1415200,E1415200,S0373200,S0373200,Victoria.Department of Crown Lands and Survey,"Toolang, County of Dundas",(E 141°52'/S 37°32' ).,"Melbourne :Dept. of Lands and Survey,1878.",1 map ;on sheet 94 x 69 cm.,,
9921271743607636,E1413600,E1413600,S0365400,S0365400,Victoria.Department of Crown Lands and Survey.,"Turandurey, County of Lowan",(E 141°36'/S 36°54').,"Melbourne :Dept. of Lands and Survey,1897.",1 map ;on sheet 67 x 77 cm.,,
9921273633607636,E1483500,E1483500,S0370300,S0370300,Victoria.Department of Crown Lands and Survey,"Tubbut, County of Croajingalong",(E 148°35'/S 37°03' ).,"Melbourne :Dept. of Lands and Survey,1912.",1 map ;on sheet 50 x 59 cm.,,
9921298163607636,E1444700,E1444700,S0375100,S0375100,Victoria.Department of Crown Lands and Survey,"Truganina, County of Bourke",(E 144°47'/S 37°51').,"Melbourne :Dept. of Lands and Survey,1927.",1 map :mounted on linen ;on sheet  38 x 65 cm.,,
9921298173607636,E1442200,E1442200,S0372300,S0372300,Victoria.Department of Crown Lands and Survey,[Trentham] County of Dalhousie,(E 144°22'/S 37° 23'),"Melbourne :Dept. of Lands and Survey,1874.",1 map ;on sheet 46 x 69 cm.,,
9921298203607636,E1430600,E1430600,S0360300,S0360300,Victoria.Department of Crown Lands and Survey.,"Thalia, County of Kara Kara",(E 143°06'/S 36°03').,"Melbourne :Dept. of Lands and Survey,1877.",1 map on 2 sheets ;sheets 80 x 66 and 80 x 67 cm.,,
9921298223607636,E1445900,E1445900,S0361400,S0361400,Victoria.Department of Crown Lands and Survey,"Tongala, County of Rodney",(E 144°59'/S 36°14').,"Melbourne :Dept. of Lands and Survey,1935.",1 map ;on sheet 102 x 76 cm.,,
9921298333607636,E1474600,E1474600,S0371400,S0371400,Victoria.Department of Crown Lands and Survey.,"Tongio-Munjie East, County of Tambo",(E 147°46'/S 37°14').,"Melbourne :H. J. Green, Govt. Printer,1932.",1 map ;on sheet 108 x 75 cm.,,
9921298353607636,E1432300,E1432300,S0355200,S0355200,Victoria.Department of Crown Lands and Survey.,"Towaninny, County of Tatchera",(E 143°23'/S 35°52').,"Melbourne :Dept. of Lands and Survey,1898.",1 map ;on sheet 69 x 90 cm.,,
9921298593607636,E14345200,E14345200,S0364300,S0364300,Victoria.Department of Crown Lands and Survey.,"Tarnagulla, Counties of Gladstone and Bendigo",(E 143°52'/S 36°43').,"Melbourne :Dept. of Lands and Survey,1926.",1 map on 4 sheets ;sheets 76 x 62 and 66 x 78 cm.,,
9921298723607636,E1445500,E1445500,S0382300,S0382300,Victoria.Department of Crown Lands and Survey.,"Wannaeue, County of Mornington",(E 144°55'/S 38°23').,"Melbourne :Dept. of Lands and Survey,1949.",1 map ;on sheet 69 x 96 cm.,,
9921298753607636,,,,,Victoria.Department of Crown Lands and Survey.,"Wannaeue, County of Mornington",,[2001],1 map on 4 sheets :photocopy ;sheets 42 x 60 cm.,,"Photocopy. Originally published:[Melbourne : Dept. of Lands and Survey, 1949?].Scale 1:15,840."
9921299723607636,E1413100,E1413100,S0382000,S0382000,Victoria.Department of Crown Lands and Survey.,"Trewalla, County of Normanby",(E 141°31'/S 38°20').,"Melbourne :Dept. of Lands and Survey,1936.",1 map ;46 x 30 cm.,,
9921300053607636,E1421000,E1421000,S0375800,S0375800,Victoria.Department of Crown Lands and Survey.,"Tallangoork, County of Villiers",(E 142°10'/S 37°58').,"Melbourne :Dept. of Lands and Survey,1880.",1 map ;on sheet 86 x 68 cm.,,
9921300563607636,E1473600,E1473600,S0372000,S0372000,Victoria.Department of Crown Lands and Survey.,"Tabberabbera, County of Dargo",(E 147°36'S 37°20').,"Melbourne :Dept. of Lands and Survey,1923.",1 map ;on sheet 103 x 81 cm.,,
9921300643607636,E1455600,E1455600,S0384400,S0384400,Victoria.Department of Crown Lands and Survey.,"Tarwin South, County of Buln Buln",(E 145°56'/S 38°44').,"Melbourne :Dept. of Lands and Survey,1905.",1 map ;on sheet 73 x 106 cm.,,
9921301013607636,E1442200,E1442200,S0372300,S0372300,Victoria.Department of Crown Lands and Survey,"Parish of Trentham, Sheet 2",(E144°22'/S 37°23').,"Melbourne :Dept. of Lands and Survey,1955.",1 map ;on sheet 84 x 54 cm.,,
9921301043607636,E1451100,E1451100,S0370200,S0370200,Victoria.Department of Crown Lands and Survey.,"Tallarook, County of Anglesey",(E 145°11' /S 37°02'),"Melbourne :Dept. of Lands and Survey,1960.",1 map ;on sheet 95 x 68 cm.,,
9921301293607636,E1444700,E1444700,S0375100,S0375100,Victoria.Department of Crown Lands and Survey.,"Truganina, County of Bourke",(E 144°47'/S 37°51').,"Melbourne :Dept. of Lands and Survey,1959.",1 map ;on sheet 68 x 100 cm.,,
9921301413607636,E1451100,E1451100,S0370200,S0370200,Victoria.Department of Crown Lands and Survey.,"Tallarook, County of Anglesey",(E 145°11' /S 37°02'),"Melbourne :Dept. of Lands and Survey,1878.",1 map ;on sheet 99 x 69 cm.,,
9920311593607636,,,,,Victoria.Department of Crown Lands and Survey,"Castlemaine, Sheet 17",,1948.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311603607636,,,,,Victoria.Department of Crown Lands and Survey,Budgeree Sheet 2,,[1948?].,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311613607636,,,,,Victoria.Department of Crown Lands and Survey,Acheron County of Anglesey,,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311623607636,,,,,Victoria.Department of Crown Lands and Survey,"Bagshot, , County of Bendigo",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311633607636,,,,,Victoria.Department of Crown Lands and Survey,"Boho, County of Delatite, Sheet 2",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311643607636,,,,,Victoria.Department of Crown Lands and Survey,"Boosey, County of Moira",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311653607636,,,,,Victoria.Department of Crown Lands and Survey,"Callignee, County of Buln Buln",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311663607636,,,,,Victoria.Department of Crown Lands and Survey,"Callingnee, Sheet 2",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311673607636,,,,,Victoria.Department of Crown Lands and Survey,"Callingnee, Sheet 3",,1949.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311683607636,,,,,Victoria.Department of Crown Lands and Survey,"Boho, County of Delatite, Sheet 1",,[1949?].,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311693607636,,,,,Victoria.Department of Crown Lands and Survey,"Bullumwaal, County of Dargo",,1950.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311703607636,,,,,Victoria.Department of Crown Lands and Survey,"Bullumwaal, Sheet 2",,[1950?].,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311713607636,,,,,Victoria.Department of Crown Lands and Survey,"Spring Creek Estate, Parish of Bullanbul, County of Villiers",,1950?.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311723607636,,,,,Victoria.Department of Crown Lands and Survey,"Part of Mt. Sturgeon Estate, parishes of Bunnugal & Adzar, counties of Ripon and Villiers",,1951.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311733607636,,,,,Victoria.Department of Crown Lands and Survey,"Burramboot, County of Rodney",,1951.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
9920311743607636,,,,,Victoria.Department of Crown Lands and Survey,"Ararat, (Sheet 3)",,1952.,1 map.,Aperture card.[1985-2005?].1 aperture card ; 9 x 19 cm.,
